Site name,Year,Month,Day,Green Leaves,Flower spikes,Flowers,Bees,Flowers with rust spots,Spike no petals,Rust spotting on leaves,Rusted leaves,Dormant,Wollybear,Zipper Spiders,Notes
Crawford,2017,5,,,,,.,,,,,,,,From field notes and photos
Crawford,2017,6,,,,,.,,,,,,,,From field notes and photos
Crawford,2019,8,27,Y,Y,Y,.,Y,Y,Y,0,0,0,0,From field notes and photos
Crawford,2022,6,21,Y,Y,Y,.,0,0,0,0,0,0,0,From field notes and photos
Crawford,2022,7,19,Y,Y,Y,.,0,0,Y,0,0,Y,0,From field notes and photos
Crawford,2022,8,16,Y,0,0,.,0,Y,Y,Y,0,0,0,From field notes and photos
Crawford,2022,9,15,Y,0,0,.,0,0,Y,0,0,0,0,From field notes and photos
Crawford,2022,10,,0,0,0,.,0,0,0,0,Y,0,0,From field notes and photos
Crawford,2022,11,,0,0,0,.,0,0,0,0,Y,0,0,From field notes and photos
Crawford,2022,12,,0,0,0,.,0,0,0,0,Y,0,0,From field notes and photos
Crawford,2023,1,,0,0,0,.,0,0,0,0,Y,0,0,From field notes and photos
Crawford,2023,2,,0,0,0,.,0,0,0,0,Y,0,0,From field notes and photos
Crawford,2023,3,,0,0,0,.,0,0,0,0,Y,0,0,From field notes and photos
Crawford,2023,4,19,Y,0,0,.,0,0,0,0,0,0,0,From field notes and photos
Crawford,2023,5,,Y,Y,Y,.,0,0,0,0,0,0,0,From field notes and photos
Crawford,2023,6,,Y,Y,Y,.,Y,0,0,0,0,0,0,From field notes and photos
Crawford,2023,7,,Y,0,Y,.,Y,Y,Y,Y,0,Y,Y,From field notes and photos
Crawford,2023,8,,Y,0,Y,.,Y,Y,Y,Y,0,Y,Y,From field notes and photos
Crawford,2023,9,19,Y,0,Y a few,.,Y,Y majority,Y,Y,0,0,Y only a few,From field notes and photos
Crawford,2023,10,,Y a few,0,0,.,0,0,0,0,Y,0,,From field notes and photos
Crawford,2023,11,,0,0,0,.,0,0,0,0,Y,0,,From field notes and photos
Crawford,2023,12,,0,0,0,.,0,0,0,0,0,0,0,From field notes and photos
Crawford,2024,1,,0,0,0,.,0,0,0,0,0,0,0,From field notes and photos
Crawford,2024,2,,0,0,0,.,0,0,0,0,0,0,0,From field notes and photos
Crawford,2024,3,,0,0,0,.,0,0,0,0,0,0,0,From field notes and photos
